;c;g;c;g
Nazwa;Koszt;Wydajnosc;TDP;Ocena
Nvidia RTX 3060-Ti;2109;132;220;99
Nvidia RTX 3070;2383;154;220;99
Nvidia RTX 3050;1408;71.7;130;96
Nvidia GTX 1660S;1043;70.5;125;94
Nvidia RTX 3080;4266;206;320;91
Nvidia RTX 4090;9699;422;450;90
Nvidia RTX 2060;1493;88.6;175;87
Nvidia RTX 4080;7049;331;320;66
Nvidia RTX 3090-Ti;6499;266;450;60
Nvidia RTX 3090;5767;233;350;71
AMD RX 6900-XT;6599;184;300;59
Nvidia RTX 3070-Ti;2844;167;290;63
AMD RX 6800-XT;3799;147;300;58
AMD RX 6800;3599;125;250;57
AMD RX 6700-XT;2899;112;230;59
Intel Arc A770;1959;93.4;225;52
Intel Arc A750;1659;85.5;225;50
Nvidia RTX 3080-Ti;6162;230;350;60
AMD RX 6750-XT;3759;114;250;52
AMD RX 6650-XT;2849;96.2;176;54
AMD RX 6950-XT;8000;186;335;53
